"","Region","Scenario","Functional Group","Effect Size","Lower CI","Upper CI"
"21","Brazil","SSP5-8.5","Overall Biomass",-0.172066602407761,-0.195878774771097,-0.147642125986869
"22","Namibia","Historical","End. Herbivores",0.255768952040181,0.219063135119901,0.293943019386456
"23","Namibia","Historical","End. Carnivores",0.890458472637046,0.695087677784256,1.08914065879071
"24","Namibia","Historical","End. Omnivores",0.485691776442954,0.426999806552453,0.544670328604102
"25","Namibia","Historical","Ect. Herbivores",-1.51099731950589,-1.64188420348036,-1.37662818917211
"26","Namibia","Historical","Ect. Carnivores",-0.913877173096544,-1.09050138606906,-0.736240532728571
"27","Namibia","Historical","Ect. Omnivores",-0.490947825347587,-0.630801549260207,-0.348072478525907
"28","Namibia","Historical","Overall Biomass",-0.120904372821318,-0.188545537106544,-0.0538948661601757
"29","Namibia","SSP1-2.6","End. Herbivores",-0.0510186934394197,-0.0923596351777967,-0.00937853128331056
"30","Namibia","SSP1-2.6","End. Carnivores",0.749127462150212,0.576007770548581,0.922263188206407
"31","Namibia","SSP1-2.6","End. Omnivores",0.476053123652065,0.427143399735841,0.52417749085838
"32","Namibia","SSP1-2.6","Ect. Herbivores",-0.520340779177209,-0.690214452097082,-0.34837617715997
"33","Namibia","SSP1-2.6","Ect. Carnivores",-0.800428735339997,-0.925018646443032,-0.675781050385993
"34","Namibia","SSP1-2.6","Ect. Omnivores",0.167572948988015,-0.00658169510715512,0.346088372566311
"35","Namibia","SSP1-2.6","Overall Biomass",0.0556403069374323,-0.0171173788300116,0.128526541010632
"36","Namibia","SSP5-8.5","End. Herbivores",-0.173524295899996,-0.244820315172067,-0.101669986478536
"37","Namibia","SSP5-8.5","End. Carnivores",0.406812175211324,0.242491055301119,0.570596253263456
"38","Namibia","SSP5-8.5","End. Omnivores",0.319873875911592,0.263223158912718,0.377792744129413
"39","Namibia","SSP5-8.5","Ect. Herbivores",-0.333595236224327,-0.657285929129858,-0.0101754806232757
"40","Namibia","SSP5-8.5","Ect. Carnivores",-0.57247912225078,-0.697465054754576,-0.4500664319669
"41","Namibia","SSP5-8.5","Ect. Omnivores",0.715977395253309,0.457903864673725,0.98627760640686
"42","Namibia","SSP5-8.5","Overall Biomass",-0.0216621560879537,-0.125257654218824,0.0830592907245187
"43","France","Historical","End. Herbivores",-1.04880785936637,-1.10435451739512,-0.992866892683819
"44","France","Historical","End. Carnivores",-1.64928796594446,-1.83489923832844,-1.46226226617688
"45","France","Historical","End. Omnivores",-1.91604733929651,-2.02379714597068,-1.80892624764261
"46","France","Historical","Ect. Herbivores",-7.98779174637279,-8.56790859214068,-7.38358295704977
"47","France","Historical","Ect. Carnivores",-1.68746724751118,-2.20839427674446,-1.15907661334879
"48","France","Historical","Ect. Omnivores",-5.17142912479962,-5.75001323556664,-4.5862479609121
"49","France","Historical","Overall Biomass",-1.58080521554396,-1.6563767739613,-1.50533261235795
"50","France","SSP1-2.6","End. Herbivores",-0.543305809073125,-0.62316684753615,-0.464774709010296
"51","France","SSP1-2.6","End. Carnivores",-1.56358363626958,-1.77887981534672,-1.33934116989121
"52","France","SSP1-2.6","End. Omnivores",-1.40722877096924,-1.54702854542361,-1.26976944373439
"53","France","SSP1-2.6","Ect. Herbivores",-7.54487132819754,-8.12299401189042,-6.94052030067157
"54","France","SSP1-2.6","Ect. Carnivores",-1.194415315112,-1.6560923061646,-0.731574618824715
"55","France","SSP1-2.6","Ect. Omnivores",-2.56786171522854,-3.09042553472668,-2.03808354195549
"56","France","SSP1-2.6","Overall Biomass",-1.11509699412339,-1.16494900106838,-1.06288378515004
"57","France","SSP5-8.5","End. Herbivores",-0.632600779361059,-0.703299250952782,-0.560062080657775
"58","France","SSP5-8.5","End. Carnivores",-1.46664151905456,-1.6684184260613,-1.2600713095577
