"","Region","Scenario","Functional Group","Effect Size","Lower CI","Upper CI"
"59","France","SSP5-8.5","End. Omnivores",-6.35534131243883,-6.45222534027924,-6.25425275110189
"60","France","SSP5-8.5","Ect. Herbivores",0.159000970126844,-0.257203698956443,0.588051830540826
"61","France","SSP5-8.5","Ect. Carnivores",-17.4880778432629,-17.8048244815971,-17.1669659179016
"62","France","SSP5-8.5","Ect. Omnivores",-0.713906643235052,-1.11245460479615,-0.307521158064861
"63","France","SSP5-8.5","Overall Biomass",-4.0218931525113,-4.08681587319932,-3.9586415978186
"64","Finland","Historical","End. Herbivores",-2.56986312314283,-2.75863869414322,-2.38361301399199
"65","Finland","Historical","End. Carnivores",NA,NA,NA
"66","Finland","Historical","End. Omnivores",-12.3749593473963,-12.5349087494841,-12.2197241040985
"67","Finland","Historical","Ect. Herbivores",2.23906501563276,1.76816504525923,2.70319525236138
"68","Finland","Historical","Ect. Carnivores",-7.27511871818549,-7.73451399112945,-6.81713824250163
"69","Finland","Historical","Ect. Omnivores",0.837960333162591,0.38607967220603,1.28286625247134
"70","Finland","Historical","Overall Biomass",-4.04282327842743,-4.17546637654448,-3.91317833842026
"71","Finland","SSP1-2.6","End. Herbivores",-2.15038862947057,-2.33128360214337,-1.96933464961303
"72","Finland","SSP1-2.6","End. Carnivores",NA,NA,NA
"73","Finland","SSP1-2.6","End. Omnivores",-12.8977160728787,-13.0600675273082,-12.7340264486425
"74","Finland","SSP1-2.6","Ect. Herbivores",2.2955504929431,1.80521652785559,2.77473105529333
"75","Finland","SSP1-2.6","Ect. Carnivores",-7.49841502429274,-7.95190261262764,-7.05705812889864
"76","Finland","SSP1-2.6","Ect. Omnivores",0.762307512009075,0.285826538765055,1.22609810086765
"77","Finland","SSP1-2.6","Overall Biomass",-3.77623438195291,-3.9106030286232,-3.64165553277083
"78","Finland","SSP5-8.5","End. Herbivores",-1.3901055636933,-1.57570445190321,-1.20345027823854
"79","Finland","SSP5-8.5","End. Carnivores",NA,NA,NA
"80","Finland","SSP5-8.5","End. Omnivores",-10.6855351170572,-10.8531464275763,-10.5174859649524
"81","Finland","SSP5-8.5","Ect. Herbivores",0.671491580689776,0.234359096050385,1.10662814658835
"82","Finland","SSP5-8.5","Ect. Carnivores",-8.29856570831987,-8.72972625122614,-7.87738077551563
"83","Finland","SSP5-8.5","Ect. Omnivores",0.458376236053848,0.00394953485500782,0.897226560752395
"84","Finland","SSP5-8.5","Overall Biomass",-3.07702882714133,-3.21679976486748,-2.93899157845684
