"","Region","Scenario","Functional Group","Effect Size","Lower CI","Upper CI"
"44","Finland","SSP1-2.6","End. Carnivores",0.253164622616087,-0.177391582546382,0.68359283131485
"45","Finland","SSP1-2.6","End. Omnivores",-0.0396051796079822,-0.277904688757691,0.197550470268171
"46","Finland","SSP1-2.6","Ect. Herbivores",-1.09646792223043,-1.67139826078655,-0.532579612435491
"47","Finland","SSP1-2.6","Ect. Carnivores",-0.681902956840641,-1.37067147740504,-0.0055156257602107
"48","Finland","SSP1-2.6","Ect. Omnivores",-0.531085505544182,-1.09283589908825,0.0400237574177176
"49","Finland","SSP1-2.6","Overall Biomass",0.0310253170416885,-0.134930232394903,0.19957969110731
"50","Finland","SSP5-8.5","End. Herbivores",-0.646857131139023,-0.916448711166251,-0.363831165439177
"51","Finland","SSP5-8.5","End. Carnivores",-0.41420246699706,-0.832806585996126,0.0154655141728188
"52","Finland","SSP5-8.5","End. Omnivores",-1.29408868368595,-1.53247749346808,-1.05587646732226
"53","Finland","SSP5-8.5","Ect. Herbivores",1.74999859694089,1.15017942373243,2.36200645969313
"54","Finland","SSP5-8.5","Ect. Carnivores",-0.936550687057791,-1.62077825975412,-0.275932395982648
"55","Finland","SSP5-8.5","Ect. Omnivores",0.0318303912223206,-0.537074409987948,0.591615662833234
"56","Finland","SSP5-8.5","Overall Biomass",-0.607580641730188,-0.774789375952467,-0.442000356812644
